real, imaginary
   -54662,         0
   -54772,      1095
   -54962,      2262
   -55212,      3265
   -54566,      4476
   -54921,      5364
   -55027,      6036
   -55465,      7598
   -55463,      8764
   -55489,      9783
   -55220,     10480
   -55721,     11434
   -55916,     12266
   -56604,     14303
   -55884,     14852
   -56120,     16432
   -56366,     17076
   -56447,     18310
   -57303,     19139
   -57486,     21460
   -57337,     23058
   -57399,     23517
   -57782,     24569
   -58916,     25378
   -58363,     27379
   -59703,     29671
   -58859,     30540
   -59754,     31663
   -60391,     33829
   -62381,     37516
   -62726,     37643
   -60900,     40504
   -61980,     40247
   -65440,     43847
   -77807,     52577
   -84230,     63435
   -57584,     34167
   -65591,     49456
   -63643,     53658
   -63106,     53581
   -65175,     56401
   -69263,     60046
   -70602,     64247
   -70587,     68122
   -71847,     70960
   -72485,     73987
   -75155,     77485
   -77100,     82065
   -78706,     88323
   -79634,     93172
   -82235,     98537
   -85258,    103343
   -88599,    111145
   -91648,    119152
   -93436,    127872
   -96646,    136809
  -102164,    146901
  -107300,    160054
  -113442,    174325
  -120085,    191594
  -127183,    212553
  -136896,    234221
  -150470,    264120
  -166868,    303429
  -187548,    354697
  -214270,    422948
  -252898,    521018
  -317231,    675426
  -442751,    963227
  -729202,   1665710
 -2451100,   5870712
  1585256,  -3923497
   570180,  -1477554
   340723,   -910682
   238138,   -661808
   178596,   -523977
   140049,   -431405
   112703,   -366842
    94451,   -319369
    80231,   -283050
    68686,   -255193
    57878,   -232514
    50057,   -212713
    43703,   -196074
    38320,   -182293
    34016,   -170535
    29413,   -160212
    25331,   -150933
    21994,   -142409
    19273,   -134976
    16908,   -128620
    14207,   -122980
    11791,   -117450
    10068,   -112288
     8401,   -107540
     6856,   -103426
     5413,    -99828
     3722,    -96363
     2409,    -92691
     1264,    -89482
      276,    -86651
     -620,    -84028
    -1705,    -81559
    -2829,    -79077
    -3539,    -76724
    -4213,    -74553
    -5000,    -72468
    -5669,    -70769
    -6560,    -68930
    -7217,    -66975
    -7659,    -65246
    -8247,    -63676
    -8733,    -62278
    -9374,    -60880
    -9853,    -59276
   -10335,    -57877
   -10662,    -56688
   -10963,    -55505
   -11579,    -54245
   -12036,    -53128
   -12382,    -51941
   -12647,    -50829
   -13003,    -49875
   -13299,    -48962
   -13627,    -47931
   -14009,    -46955
   -14267,    -46044
   -14532,    -45154
   -14829,    -44331
   -15112,    -43488
   -15393,    -42701
   -15558,    -41944
   -15804,    -41214
   -16101,    -40557
   -16303,    -39782
   -16475,    -38957
   -16631,    -38347
   -16819,    -37725
   -17090,    -37037
   -17299,    -36445
   -17474,    -35792
   -17590,    -35137
   -17735,    -34609
   -17901,    -34081
   -18097,    -33512
   -18215,    -32909
   -18360,    -32364
   -18448,    -31841
   -18602,    -31391
   -18844,    -30813
   -18926,    -30290
   -19070,    -29789
   -19138,    -29323
   -19220,    -28911
   -19417,    -28399
   -19577,    -27948
   -19603,    -27466
   -19692,    -27026
   -19782,    -26563
   -19894,    -26240
   -19995,    -25826
   -20102,    -25314
   -20242,    -24953
   -20281,    -24553
   -20337,    -24222
   -20460,    -23827
   -20524,    -23401
   -20661,    -22995
   -20705,    -22655
   -20822,    -22292
   -20875,    -21932
   -21009,    -21604
   -20994,    -21232
   -21088,    -20856
   -21122,    -20565
   -21155,    -20250
   -21341,    -19864
   -21385,    -19560
   -21358,    -19246
   -21440,    -18917
   -21574,    -18630
   -21647,    -18344
   -21654,    -17928
   -21643,    -17605
   -21726,    -17336
   -21812,    -17048
   -21835,    -16737
   -21868,    -16479
   -21975,    -16148
   -21971,    -15861
   -22028,    -15606
   -22094,    -15293
   -22171,    -15067
   -22198,    -14742
   -22185,    -14429
   -22219,    -14168
   -22285,    -13962
   -22335,    -13625
   -22378,    -13400
   -22363,    -13070
   -22414,    -12835
   -22458,    -12614
   -22464,    -12345
   -22573,    -12072
   -22573,    -11826
   -22583,    -11549
   -22604,    -11293
   -22587,    -11108
   -22676,    -10840
   -22740,    -10571
   -22738,    -10296
   -22786,    -10047
   -22771,     -9813
   -22796,     -9632
   -22838,     -9376
   -22864,     -9087
   -22882,     -8861
   -22905,     -8655
   -22873,     -8430
   -22963,     -8183
   -22982,     -7911
   -22961,     -7700
   -22999,     -7453
   -23019,     -7277
   -23048,     -7018
   -23083,     -6781
   -23059,     -6592
   -23078,     -6313
   -23067,     -6098
   -23135,     -5916
   -23151,     -5674
   -23188,     -5400
   -23162,     -5223
   -23149,     -5009
   -23145,     -4777
   -23218,     -4580
   -23256,     -4331
   -23196,     -4118
   -23188,     -3893
   -23178,     -3662
   -23282,     -3468
   -23315,     -3226
   -23278,     -3007
   -23231,     -2810
   -23263,     -2605
   -23312,     -2389
   -23271,     -2119
   -23311,     -1935
   -23263,     -1697
   -23281,     -1520
   -23301,     -1303
   -23319,     -1096
   -23323,      -909
   -23286,      -620
   -23244,      -408
   -23297,      -213
