real, imaginary
  8054347,         0
   594827,   -430271
   709058,   -247161
   543712,   -530124
  1769960,    239512
 -1758291,  -1330627
  -334175,   -666199
  -233281,   -693253
  -161178,  -1180767
  -446118,   1355395
   996069,    102535
   292901,    192026
   255689,    -95083
 -1280439,   -733692
   401789,   -641553
  -295472,     69288
    45698,   -148706
   641906,  -1861696
   -16093,    138108
   485539,    658386
   561161,    545805
   567750,        78
    66226,   -485228
   578640,    446963
  -260115,    491470
  -168090,     82629
  -214422,    -31229
   -55074,    478956
  -218120,    234591
   -49500,     47779
  -597807,   -355373
   267773,     43467
   466555,    -14154
  -190523,   -277893
  -199070,    120743
  -104737,     39149
      680,      5127
  -328226,   -264343
   -63503,    293229
   168211,    -84554
   215929,   -219421
    -1824,   -168165
   280946,    -93774
  -338205,    507021
   -25940,   -108628
  -197489,   -110480
   186550,    -45844
  -326742,    123135
  -178239,    -80100
    69276,     26626
   160557,     -8668
   194875,   -259738
  -433923,   -240721
     2761,    142571
  -102624,    -18902
   299365,   -314429
  -226556,    384440
  -120968,     56533
   -92322,   -195325
   118299,    -84338
  -475121,    113005
    11317,   -492281
   252772,   -236021
  -326417,    -81775
    36392,   -401420
   150100,     99763
   225744,     54299
  -213795,   -258264
   277484,    -63079
   118430,     73552
   118066,   -348114
    33656,   -105095
   -41081,     63238
   182851,    111659
    42496,   -203174
     4661,     60898
   -22667,    -12601
    25082,    -24688
   133384,     51241
   140593,   -113701
    12257,   -121721
   -70606,   -156600
   -55195,    114699
   -70468,    -83938
   118156,   -149686
   204616,   -199962
   213899,     69883
   -48604,     19540
   200178,   -123986
   353430,    -30632
  -106362,    216954
     7186,    -65774
     -938,   -170531
    77576,    125695
   -22923,    -40491
   334286,    156249
   -85153,    -13337
    32881,   -149738
   369393,     27136
   -12437,    142148
   -74800,    -20473
   122371,   -116080
   166303,    243612
   -27590,    117935
   127380,     77640
  -153117,     47383
   -15462,     16134
    59497,     70507
   177803,    -60996
  -151683,    -29301
   -36706,   -108496
    62320,    123186
    18729,    119827
    50821,     69661
   -50487,   -130607
    17597,     17954
    55252,    -79935
   190217,    -14101
   -57170,     77396
    83957,   -110199
   159729,     98209
     3509,     15458
  -144331,    229982
   187929,    -25232
    34627,    125922
    23366,      6908
   -40005,     81645
   -70537,     23862
     -450,    -66841
   -77703,     62496
   -33327,    -38127
   -66782,     -7297
   181102,    -93574
    86190,     91715
     9899,     66923
   -33684,     45456
   114443,   -110166
    28616,    146757
   -59198,    -21611
   -80271,   -132831
    -5177,     28601
   113998,    111248
   155010,     74759
   -21175,    -82251
   -88438,     -7736
   177513,     46997
    40068,     49047
     1651,     -8966
    22845,     21559
     5976,     43763
   103457,     50069
   -12274,    130151
   -57844,    135502
   106199,    -80675
   121318,     48963
   -52393,    -17181
   -74136,    125846
   106765,    134753
  -110537,     13683
   -74914,      2892
     3630,    140394
   -40255,     47327
   -58229,   -147072
    86166,    -29927
    96876,     72784
   -21166,     37809
    55538,    -76591
    33119,    133998
   -40067,     16567
   -24396,    128945
   109906,    120614
   -57207,     86586
    86751,     -8319
   -62764,     77068
  -164470,     92449
    23275,     10120
   -10597,     88310
  -114699,    -59604
   -80697,      8499
    69781,    144884
   -56765,     40831
   -44821,     44983
   -42398,     84434
   -52698,   -120016
   -22748,       503
  -149702,     73255
   -91405,    -21596
   115510,    -75312
    -6113,    119154
  -114617,     32241
   -54102,     -1170
    35771,     14671
   -50135,    -35280
   -71334,    -63413
   -49660,     51446
   -14214,    -39841
   -52235,    -89662
     8553,     60384
   -56305,     58663
    -8917,    -15680
   119939,    -87346
   -33241,     87309
   -43472,    -79161
   -76088,     82960
    42961,     88177
  -146735,    -16013
   -76515,    -53584
   -72719,      -639
   -55446,    -44247
    14127,    -41281
    -9684,    -59728
   105129,    -77845
   -61385,    -44662
   -27291,    -54698
    -8146,     29154
     9335,     -2518
   -20071,    -23930
   146054,   -111314
    -9011,    125415
   -34988,    -27604
    88461,    -17733
     8000,    -19019
      330,     16401
   -37259,     -1341
     3607,     41266
   -71739,    -10307
   118913,     23903
    -7823,     96418
  -122041,     36269
    17525,    -45067
    64000,   -203077
    13960,    110924
  -142989,     -5269
    68614,     18663
   118335,    -89207
     2358,    120439
   -88360,     66876
   -40506,     33087
     4398,    -26035
    53403,   -101860
   -24347,     77836
   -68019,    -47759
   -10670,    -68974
   -16282,    -32719
    70772,    169925
     -733,    -21861
    24365,    -88860
     9492,    -10292
    59863,    159220
    23916,      5061
   -33342,    -14438
   -47806,     90442
   -88770,    -34040
    -8004,     66979
   -80579,     20669
   -24824,    -39339
